matchId,matchRound,homeTeamName,homeTeamid,awayTeamName,awayTeamid,home_goals,away_goals,ball_possession_home,ball_possession_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,fouls_home,fouls_away,corners_home,corners_away,total_shots_home,total_shots_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,blocked_shots_home,blocked_shots_away,hit_woodwork_home,hit_woodwork_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,xG_home,xG_away,xG_open_play_home,xG_open_play_away,xG_set_play_home,xG_set_play_away,xG_non_penalty_home,xG_non_penalty_away,xGOT_home,xGOT_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,own_half_passes_home,own_half_passes_away,opposition_half_passes_home,opposition_half_passes_away,accurate_long_passes_home,accurate_long_passes_away,accurate_crosses_home,accurate_crosses_away,throws_home,throws_away,touches_opp_box_home,touches_opp_box_away,offsides_home,offsides_away,tackles_won_home,tackles_won_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,keeper_saves_home,keeper_saves_away,duel_won_home,duel_won_away,ground_duels_won_home,ground_duels_won_away,aerial_won_home,aerial_won_away,dribbles_succeeded_home,dribbles_succeeded_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away
5205811,1/2,Paris Saint-Germain,9847,Bayern München,9823,5,4,43,57,2,6,1,3,14,4,2,5,12,10,3,1,5,8,4,1,1,1,10,9,2,1,1.9,3.06,1.05,1.55,0.06,0.72,1.11,2.27,2.65,2.73,119489,121317,32723,32460,84290,86424,2476,2433,119,115,,,,,,,,,371,504,313 (84%),423 (84%),213,204,100,219,22 (42%),32 (45%),13,22,13,8,3,4,28,8,41,69,27 (32%),58 (68%)
5205813,1/2,Atletico Madrid,9906,Arsenal,9825,1,1,52,48,3,2,2,1,7,11,6,1,18,11,8,4,4,2,6,5,1,0,13,8,5,3,2.22,1.5,1.26,0.72,0.17,0.0,1.43,0.72,1.79,0.7,506,480,420 (83%),423 (88%),247,148,173,275,23 (38%),20 (48%),7 (44%),4 (57%),23.0,12.0,25.0,22.0,0.0,1.0,21,8,9,9,5,6,6,20,1,3,44,32,35 (59%),24 (41%),9 (53%),8 (47%),7 (78%),9 (45%),1,0,0,0
5102098,15,River Plate,10076,Boca Juniors,10077,0,1,68,32,0,2,0,1,14,19,6,1,13,10,3,3,3,5,7,2,0,0,4,8,9,2,0.57,1.61,0.51,0.76,0.07,0.07,0.57,0.82,0.08,1.73,468,226,384 (82%),134 (59%),178,71,206,63,31 (57%),14 (25%),4 (17%),2 (29%),25.0,12.0,20.0,18.0,0.0,2.0,13,27,11,9,1,6,15,31,4,3,56,58,40 (48%),44 (52%),16 (53%),14 (47%),8 (31%),5 (45%),6,5,0,0
4813720,35,Everton,8668,Manchester City,8456,3,3,24,76,4,1,1,0,15,5,5,9,14,21,2,8,6,4,6,9,0,0,10,13,4,8,2.72,1.54,1.59,1.12,1.13,0.41,2.72,1.54,3.72,2.21,201,629,138 (69%),568 (90%),75,221,63,347,18 (40%),16 (44%),3 (43%),5 (22%),18,19,16,48,4,0,26,18,4,2,9,6,22,20,1,3,52,64,34 (41%),49 (59%),18 (55%),15 (45%),3 (30%),16 (48%),4,1,0,0
5205814,1/2,Arsenal,9825,Atletico Madrid,9906,1,0,53,47,2,1,1,1,10,13,5,2,13,9,8,4,2,2,3,3,0,0,6,7,7,2,1.58,0.53,1.45,0.51,0.13,0.02,1.58,0.53,1.02,0.24,444,385,377 (85%),319 (83%),160,171,217,148,24 (41%),19 (39%),4 (29%),2 (15%),14,18,20,20,1,2,18,21,4,7,3,3,27,17,2,1,48,45,35 (51%),34 (49%),13 (54%),11 (46%),6 (40%),4 (29%),1,2,0,0
5205812,1/2,Bayern München,9823,Paris Saint-Germain,9847,1,1,66,34,3,3,2,2,11,12,1,8,18,15,7,3,6,7,5,5,0,0,13,8,5,7,1.41,1.06,1.33,0.99,0.08,0.08,1.41,1.06,1.22,1.91,573,301,499 (87%),212 (70%),214,113,285,99,40 (63%),18 (27%),2 (13%),2 (25%),25,12,39,17,1,0,9,27,6,10,5,5,8,30,6,5,49,59,38 (43%),51 (57%),11 (58%),8 (42%),18 (60%),16 (67%),3,3,0,0
5449143,1/8,River Plate,10076,San Lorenzo,10083,2,2,73,27,45,4,2,2,604 (86%),152 (57%),2,1,30,5,15,1,12,4,3,0,1,0,17,3,13,2,1.27,0.67,0.92,0.56,0.35,0.11,1.27,0.67,1.39,1.91,704,265,604 (86%),152 (57%),238,66,366,86,82 (75%),26 (32%),6 (15%),1 (20%),32,29,45,4,8,0,24,27,6,11,0,3,12,54,2,10,61,57,47 (53%),42 (47%),14 (48%),15 (52%),10 (45%),2 (22%),2,1,0,1
